GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
200,356.62,12287.99,16621.04,-13853.58,-2118.54,6468.81,-12648.74,-104685.46,428.94,7113.59,-104256.52,-97142.93
201,340.6,12369.34,16570.0,-13814.94,-1906.12,6403.76,-12730.06,-104875.86,428.66,7232.59,-104447.2,-97214.61
202,322.96,12224.1,16556.55,-13861.86,-1733.63,6423.84,-12638.28,-104993.28,430.63,7293.68,-104562.64,-97268.96
203,358.74,12306.86,16526.22,-13862.08,-2608.11,6494.86,-12663.39,-104167.26,429.43,6553.12,-103737.83,-97184.72
204,363.47,12386.35,16431.76,-13873.92,-2567.09,6450.75,-12696.69,-104212.43,428.39,6494.62,-103784.04,-97289.42
205,368.65,12391.34,16522.13,-13836.44,-2617.85,6440.79,-12779.01,-104171.62,429.28,6489.6,-103742.34,-97252.74
206,358.7,12317.48,16506.7,-13895.9,-2603.02,6392.09,-12666.23,-104192.36,427.03,6409.82,-103765.33,-97355.52
207,371.5,12319.0,16563.95,-13815.4,-2436.91,6447.67,-12610.17,-104408.59,431.42,6839.64,-103977.17,-97137.54
208,364.59,12417.98,16499.46,-13861.0,-2489.39,6418.24,-12767.7,-104213.78,430.31,6582.17,-103783.47,-97201.3
209,366.98,12463.02,16465.37,-13877.52,-2050.27,6442.31,-12759.82,-104761.94,429.79,7050.08,-104332.15,-97282.07
210,367.48,12326.07,16590.7,-13919.07,-2526.24,6491.99,-12637.41,-104235.66,428.31,6693.53,-103807.35,-97113.82
211,322.81,12313.71,16572.55,-13847.15,-2273.2,6485.96,-12729.45,-104384.06,426.61,6845.22,-103957.45,-97112.23
212,310.92,12400.69,16545.92,-13903.67,-2077.15,6442.52,-12677.15,-104649.78,431.14,7042.09,-104218.64,-97176.55
213,327.14,12434.36,16541.05,-13886.43,-1912.98,6482.14,-12580.45,-104833.71,428.0,7404.83,-104405.71,-97000.88
214,309.54,12178.64,16587.91,-13874.99,-2201.68,6454.04,-12582.69,-104656.28,429.83,6870.77,-104226.44,-97355.68
215,381.43,12337.41,16590.18,-13930.1,-1902.75,6403.1,-12794.91,-104683.87,429.34,7084.36,-104254.53,-97170.18
216,357.42,12380.74,16638.17,-13918.47,-2166.43,6438.08,-12639.23,-104625.23,429.01,7090.28,-104196.22,-97105.95
217,327.02,12343.3,16538.78,-13885.26,-2192.55,6506.72,-12663.79,-104642.78,426.64,6974.24,-104216.14,-97241.91
218,322.92,12322.17,16554.1,-13887.28,-2672.9,6428.35,-12754.07,-104032.17,427.56,6313.28,-103604.61,-97291.33
219,353.28,12227.13,16495.61,-13830.74,-2912.03,6476.06,-12581.79,-103935.44,429.86,6227.52,-103505.58,-97278.07
220,356.34,12351.25,16568.1,-13800.32,-2968.93,6441.84,-12612.63,-103850.38,429.21,6335.65,-103421.17,-97085.52
221,344.55,12396.89,16530.73,-13886.91,-2474.69,6434.85,-12710.13,-104190.08,427.97,6635.29,-103762.1,-97126.82
222,307.57,12378.93,16548.27,-13851.73,-2685.39,6425.98,-12556.6,-104220.36,431.41,6567.04,-103788.95,-97221.91
223,321.89,12256.45,16505.57,-13866.31,-1867.66,6476.04,-12684.74,-104839.52,431.01,7141.23,-104408.51,-97267.28
224,337.91,12446.54,16484.2,-13779.35,-2322.85,6461.99,-12600.66,-104559.64,430.49,7027.77,-104129.15,-97101.38
225,355.19,12362.95,16573.83,-13782.7,-3065.23,6460.96,-12677.5,-103806.39,428.44,6227.51,-103377.95,-97150.45
226,381.43,12296.36,16497.45,-13815.23,-1646.63,6411.43,-12650.92,-105183.38,430.55,7473.9,-104752.84,-97278.93
227,363.04,12307.18,16526.21,-13772.09,-2550.23,6465.83,-12482.85,-104436.75,429.3,6857.08,-104007.45,-97150.37
228,311.44,12357.77,16627.27,-13825.56,-2531.5,6431.06,-12635.15,-104308.88,430.18,6735.33,-103878.7,-97143.37
229,371.6,12396.19,16591.45,-13787.71,-2530.89,6403.85,-12771.04,-104312.24,430.31,6673.46,-103881.93,-97208.47
230,334.09,12321.72,16566.94,-13862.96,-2699.06,6422.85,-12790.68,-103992.32,426.48,6292.9,-103565.84,-97272.94
231,346.03,12415.32,16561.27,-13884.89,-2583.06,6432.02,-12699.61,-104091.4,425.84,6587.09,-103665.56,-97078.47
232,329.4,12346.38,16547.58,-13800.27,-3120.38,6440.91,-12833.53,-103576.44,428.06,5910.09,-103148.38,-97238.29
233,373.6,12422.54,16527.11,-13817.45,-2697.03,6444.8,-12736.12,-104092.68,428.87,6517.45,-103663.82,-97146.37
234,387.82,12302.75,16572.89,-13923.69,-3368.5,6460.87,-12670.85,-103397.97,427.59,5761.27,-102970.37,-97209.1
235,322.47,12387.88,16556.15,-13904.69,-3090.31,6441.88,-12763.14,-103626.55,426.32,5950.24,-103200.23,-97249.99
236,314.01,12327.78,16536.52,-13842.71,-2474.99,6482.99,-12696.55,-104339.58,429.12,6647.05,-103910.46,-97263.41
237,319.96,12249.34,16513.18,-13877.33,-2281.2,6482.65,-12673.08,-104467.32,429.48,6733.52,-104037.84,-97304.31
238,361.56,12329.02,16483.05,-13847.6,-2009.05,6383.59,-12651.85,-104766.71,429.0,7048.72,-104337.71,-97288.99
239,344.66,12332.92,16524.63,-13859.63,-2803.59,6412.56,-12604.0,-104123.59,429.68,6347.55,-103693.91,-97346.35
240,383.07,12369.54,16572.91,-13901.38,-2724.98,6419.84,-12571.0,-104178.33,427.72,6548.0,-103750.61,-97202.61
241,315.89,12377.66,16510.62,-13820.91,-3277.32,6459.62,-12545.94,-103737.1,430.06,6019.62,-103307.04,-97287.42
242,322.06,12186.37,16584.3,-13860.49,-3198.17,6464.31,-12609.89,-103712.36,430.83,5888.49,-103281.53,-97393.04
243,355.18,12466.2,16457.62,-13908.62,-2694.02,6433.54,-12647.69,-104006.4,429.98,6462.2,-103576.41,-97114.21
244,332.6,12310.48,16501.7,-13854.62,-2416.49,6457.42,-12562.04,-104512.56,434.08,6769.05,-104078.48,-97309.43
245,365.32,12436.5,16543.58,-13923.68,-2438.11,6419.81,-12706.85,-104198.11,429.97,6696.56,-103768.14,-97071.58
246,358.23,12315.02,16556.83,-13835.79,-2195.94,6435.72,-12882.89,-104463.24,431.2,6751.19,-104032.04,-97280.84
247,351.95,12316.72,16602.5,-13848.72,-2893.76,6447.52,-12661.85,-103976.19,428.62,6314.36,-103547.57,-97233.21
248,358.01,12377.27,16529.94,-13903.92,-2523.22,6447.56,-12626.0,-104265.1,431.53,6659.64,-103833.58,-97173.93
249,342.29,12341.6,16533.99,-13790.3,-2179.41,6448.36,-12732.12,-104612.19,433.66,6964.42,-104178.53,-97214.11
250,389.45,12261.6,16559.88,-13880.62,-2155.49,6442.62,-12654.09,-104529.28,431.45,6963.35,-104097.83,-97134.49
251,322.89,12351.52,16488.48,-13884.48,-2433.93,6412.77,-12733.06,-104200.65,428.95,6524.2,-103771.7,-97247.5
252,371.62,12356.3,16434.22,-13875.29,-2912.07,6454.5,-12602.62,-103871.99,427.43,6226.65,-103444.56,-97217.91
253,335.21,12305.26,16598.02,-13850.43,-2579.32,6398.74,-12658.14,-104233.43,426.84,6549.33,-103806.59,-97257.26
254,347.01,12352.64,16608.84,-13842.32,-2784.38,6456.97,-12788.81,-103852.28,426.34,6349.94,-103425.95,-97076.0
255,368.87,12306.59,16553.62,-13870.89,-2998.95,6464.05,-12601.33,-103799.43,425.9,6221.96,-103373.53,-97151.57
256,349.84,12276.95,16509.19,-13902.3,-3092.15,6467.63,-12691.76,-103575.54,427.05,5917.4,-103148.49,-97231.09
257,389.31,12390.36,16507.3,-13830.57,-3099.62,6428.2,-12786.77,-103578.41,427.67,5998.2,-103150.74,-97152.54
258,357.61,12404.92,16538.39,-13947.28,-2680.31,6436.32,-12799.47,-103883.58,424.6,6310.19,-103458.98,-97148.79
259,356.75,12367.36,16509.88,-13856.01,-2797.48,6450.19,-12672.58,-103955.4,426.88,6358.12,-103528.52,-97170.4
260,334.2,12349.06,16467.34,-13867.37,-3004.65,6416.43,-12701.55,-103756.76,427.18,5993.46,-103329.58,-97336.12
261,381.16,12411.96,16517.89,-13859.51,-2513.76,6474.03,-12768.43,-104136.25,425.78,6643.35,-103710.47,-97067.12
262,365.42,12485.27,16565.12,-13950.85,-2767.3,6426.9,-12789.38,-103822.34,427.54,6335.17,-103394.8,-97059.63
263,379.91,12368.57,16520.65,-13869.76,-2514.42,6445.9,-12683.1,-104208.41,425.07,6647.76,-103783.34,-97135.59
264,374.96,12348.22,16480.23,-13860.64,-2409.18,6452.63,-12569.82,-104406.19,425.42,6816.4,-103980.77,-97164.38
265,366.19,12215.84,16460.25,-13842.84,-2500.78,6452.89,-12590.69,-104308.48,426.75,6560.87,-103881.73,-97320.86
266,308.14,12345.82,16614.07,-13887.02,-2355.95,6449.82,-12722.78,-104261.49,424.34,6752.09,-103837.15,-97085.06
267,312.51,12247.74,16439.72,-13798.7,-2627.42,6486.27,-12452.95,-104315.6,426.95,6607.17,-103888.65,-97281.48
268,357.27,12320.5,16445.34,-13902.14,-2950.55,6432.81,-12667.26,-103782.71,428.44,6035.97,-103354.27,-97318.3
269,341.99,12413.62,16525.76,-13799.48,-3098.98,6435.62,-12649.57,-103770.89,430.25,6168.97,-103340.64,-97171.67
270,316.57,12271.23,16581.06,-13904.6,-2243.63,6433.92,-12607.4,-104513.9,428.35,6847.16,-104085.55,-97238.39
271,344.55,12293.35,16565.4,-13939.7,-2375.67,6442.81,-12609.89,-104343.92,425.42,6720.85,-103918.5,-97197.65
272,368.3,12387.05,16510.04,-13944.9,-2926.06,6432.56,-12628.85,-103754.18,425.63,6198.13,-103328.55,-97130.41
273,311.86,12392.47,16520.39,-13935.84,-3284.36,6419.69,-12682.32,-103356.49,426.66,5741.88,-102929.83,-97187.95
274,326.29,12343.75,16598.2,-13882.69,-3342.3,6482.18,-12592.26,-103569.43,427.54,5933.17,-103141.89,-97208.72
275,405.34,12317.34,16564.68,-13847.66,-2809.75,6435.24,-12603.96,-103961.35,427.47,6461.24,-103533.89,-97072.65
276,353.72,12464.45,16519.47,-13867.74,-3244.43,6435.11,-12534.63,-103705.63,424.91,6125.96,-103280.72,-97154.77
277,315.85,12284.55,16527.2,-14000.23,-3327.97,6483.2,-12560.42,-103400.94,425.21,5722.18,-102975.72,-97253.54
278,341.59,12305.91,16566.7,-13918.92,-3589.94,6472.25,-12503.66,-103274.48,424.51,5673.94,-102849.97,-97176.03
279,328.49,12338.2,16587.46,-13893.27,-3769.79,6421.58,-12563.82,-103044.65,424.16,5448.86,-102620.49,-97171.63
280,356.92,12125.27,16522.03,-13860.83,-3502.3,6497.61,-12487.56,-103322.47,425.08,5651.14,-102897.4,-97246.26
281,318.01,12276.2,16441.42,-13973.17,-3193.34,6477.99,-12728.37,-103414.63,422.81,5618.75,-102991.83,-97373.08
282,408.57,12320.48,16563.89,-13898.74,-3546.98,6433.71,-12579.56,-103323.45,422.74,5701.36,-102900.71,-97199.35
283,332.6,12237.18,16603.44,-13952.56,-3160.36,6450.97,-12639.91,-103599.74,423.45,5871.37,-103176.29,-97304.92
284,351.8,12327.93,16442.3,-13940.08,-2853.95,6469.49,-12673.87,-103784.98,424.3,6123.61,-103360.68,-97237.07
