GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
200,348.54,12452.77,16591.21,-13729.54,10327.71,6428.67,-12868.81,-116916.42,444.62,19550.55,-116471.8,-96921.25
201,375.88,12201.03,16494.84,-13713.43,10374.76,6440.73,-12820.51,-117071.81,444.48,19353.29,-116627.33,-97274.04
202,353.23,12329.71,16510.25,-13769.08,10069.77,6425.1,-12873.78,-116638.17,439.44,19045.18,-116198.73,-97153.55
203,343.68,12296.52,16470.51,-13830.67,10190.16,6436.82,-12898.31,-116681.43,439.02,19008.71,-116242.41,-97233.7
204,344.37,12362.55,16499.7,-13754.98,9717.19,6414.82,-12861.62,-116246.46,441.72,18722.04,-115804.74,-97082.71
205,343.61,12323.39,16501.54,-13799.79,9334.06,6451.46,-12935.02,-115817.99,440.97,18219.25,-115377.02,-97157.76
206,343.07,12450.56,16516.01,-13845.4,9447.27,6450.94,-12870.97,-116024.66,442.25,18491.49,-115582.4,-97090.92
207,317.54,12383.71,16448.74,-13778.68,9096.37,6419.73,-12925.19,-115776.58,442.4,17962.21,-115334.18,-97371.97
208,314.52,12326.17,16444.15,-13824.23,9749.07,6417.12,-12849.09,-116282.0,442.13,18577.71,-115839.87,-97262.17
209,315.1,12293.09,16623.9,-13830.91,9168.77,6445.2,-12723.08,-115893.91,442.26,18292.06,-115451.65,-97159.59
210,350.04,12222.04,16460.05,-13812.66,9384.2,6365.44,-12812.83,-115955.2,443.11,18156.27,-115512.1,-97355.83
211,345.83,12256.96,16485.48,-13838.21,9281.76,6448.11,-12916.29,-115892.76,447.23,18063.63,-115445.53,-97381.9
212,342.77,12291.86,16492.56,-13681.88,9177.2,6438.34,-12763.64,-115921.13,445.86,18297.21,-115475.27,-97178.06
213,336.6,12407.37,16450.24,-13831.41,9243.79,6404.94,-12803.49,-115842.4,441.45,18208.03,-115400.95,-97192.91
214,337.83,12198.75,16471.49,-13766.2,9026.38,6444.64,-12784.97,-115743.92,444.34,17927.92,-115299.58,-97371.65
215,336.73,12302.33,16554.07,-13801.62,9216.38,6456.42,-12792.78,-115860.07,443.09,18271.53,-115416.98,-97145.45
216,358.53,12447.43,16558.77,-13786.75,8784.51,6428.72,-12823.2,-115452.84,443.68,17968.02,-115009.16,-97041.13
217,336.81,12330.7,16535.72,-13867.44,9017.61,6439.46,-12769.58,-115679.78,442.06,18023.27,-115237.73,-97214.46
218,374.35,12389.12,16431.78,-13771.74,8747.22,6386.95,-12829.41,-115508.39,441.49,17728.27,-115066.9,-97338.63
219,355.1,12355.3,16458.76,-13854.09,8098.37,6388.4,-12683.43,-114839.92,439.45,17118.42,-114400.47,-97282.06
220,334.96,12511.93,16578.85,-13807.78,8641.72,6444.87,-12754.83,-115398.14,441.66,17949.72,-114956.48,-97006.76
221,321.38,12415.83,16568.46,-13779.38,8995.87,6427.49,-12738.1,-115787.78,441.35,18211.54,-115346.43,-97134.89
222,344.69,12250.97,16538.92,-13785.34,8352.34,6420.12,-12899.54,-115007.54,440.71,17222.16,-114566.83,-97344.68
223,351.85,12216.64,16459.99,-13791.63,8496.2,6518.26,-12701.0,-115381.47,440.23,17550.31,-114941.23,-97390.92
224,380.48,12334.96,16444.04,-13782.39,8270.15,6406.76,-12787.14,-115059.56,441.17,17266.87,-114618.39,-97351.52
225,330.51,12379.98,16623.82,-13811.33,8301.14,6393.57,-12820.99,-115113.55,439.89,17396.69,-114673.65,-97276.96
226,297.51,12180.92,16507.91,-13766.79,8445.14,6492.13,-12798.54,-115238.54,438.89,17358.29,-114799.65,-97441.36
227,377.16,12368.82,16533.92,-13825.92,9121.53,6427.38,-12745.28,-115862.78,437.8,18257.61,-115424.98,-97167.37
228,341.62,12492.16,16510.34,-13886.59,8918.76,6441.3,-12798.32,-115651.94,439.95,18019.26,-115211.98,-97192.72
229,361.04,12298.46,16549.64,-13858.22,8827.54,6453.64,-12740.65,-115552.63,440.03,17891.45,-115112.6,-97221.15
230,333.01,12402.58,16602.43,-13845.46,9032.12,6449.3,-12773.41,-115757.47,439.24,18200.57,-115318.23,-97117.67
231,311.1,12351.51,16547.23,-13825.78,8399.68,6399.64,-12790.49,-115117.77,436.76,17392.9,-114681.02,-97288.12
232,343.81,12200.45,16503.47,-13860.08,8189.5,6422.01,-12659.75,-114970.87,436.77,17139.41,-114534.09,-97394.69
