GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
200,321.45,12393.09,16412.29,-13539.94,2650.33,6439.75,-12445.51,-109504.22,427.96,12231.45,-109076.26,-96844.81
201,372.05,12208.49,16443.27,-13469.5,2503.87,6473.44,-12362.45,-109437.14,425.31,12169.16,-109011.84,-96842.68
202,346.69,12433.13,16534.08,-13033.01,2189.74,6437.79,-12445.04,-109181.6,424.08,12463.37,-108757.52,-96294.15
203,328.43,12376.12,16501.72,-13438.85,2430.78,6426.35,-12542.96,-109287.41,426.43,12081.59,-108860.98,-96779.39
204,332.88,12287.8,16462.85,-13453.69,2478.23,6417.33,-12551.45,-109363.81,426.79,11973.94,-108937.03,-96963.08
205,379.37,12361.88,16550.74,-13359.32,2906.89,6444.94,-12413.65,-109684.17,426.81,12870.86,-109257.35,-96386.49
206,357.2,12377.27,16529.8,-13740.58,2633.21,6421.39,-12491.91,-109510.63,427.56,12086.37,-109083.07,-96996.7
207,385.78,12415.8,16494.36,-13352.75,2253.18,6486.48,-12475.99,-109190.61,427.34,12206.85,-108763.27,-96556.42
208,342.8,12415.48,16456.35,-13806.52,1581.72,6411.48,-12486.79,-108418.1,423.62,10914.53,-107994.48,-97079.95
209,328.77,12414.04,16473.26,-13662.74,2089.18,6447.15,-12421.09,-108904.34,423.28,11668.59,-108481.06,-96812.47
210,344.34,12373.9,16595.95,-13280.8,2304.53,6399.04,-12456.19,-109255.98,427.62,12280.78,-108828.37,-96547.59
211,352.36,12207.54,16494.44,-13299.87,2336.51,6423.11,-12371.72,-109319.65,425.85,12142.36,-108893.81,-96751.45
212,351.86,12364.5,16508.88,-13816.77,1940.95,6446.44,-12462.69,-109022.14,424.25,11333.18,-108597.89,-97264.71
213,355.9,12275.64,16575.48,-13574.59,1975.43,6422.33,-12568.99,-108789.29,425.52,11461.2,-108363.77,-96902.57
214,343.28,12459.96,16532.81,-13225.31,1525.51,6401.41,-12460.37,-108586.57,427.02,11577.29,-108159.55,-96582.25
215,365.99,12347.03,16507.2,-13316.43,1652.14,6443.84,-12472.77,-108626.19,423.78,11527.01,-108202.41,-96675.41
216,378.53,12474.5,16434.02,-13714.48,1716.74,6451.57,-12438.73,-108819.81,423.78,11302.14,-108396.03,-97093.89
217,356.49,12337.72,16484.04,-13755.63,2106.34,6452.78,-12492.38,-109020.93,422.99,11489.37,-108597.94,-97108.57
218,349.97,12339.49,16531.6,-13569.18,2201.83,6437.61,-12414.4,-109040.96,425.57,11876.93,-108615.39,-96738.46
219,349.28,12370.97,16460.65,-12752.44,2247.17,6411.95,-12682.34,-109033.88,424.87,12405.25,-108609.01,-96203.76
220,330.82,12342.34,16499.73,-13919.38,2346.82,6414.27,-12612.86,-109066.08,425.97,11401.74,-108640.11,-97238.37
221,324.61,12255.38,16466.82,-13774.48,2675.93,6428.07,-12579.83,-109404.27,424.92,11796.5,-108979.35,-97182.86
222,309.38,12351.5,16575.91,-13570.21,2828.08,6419.36,-12513.76,-109644.24,426.54,12400.26,-109217.7,-96817.44
223,309.21,12371.89,16487.58,-13678.98,2579.83,6433.72,-12544.34,-109311.13,425.07,11958.9,-108886.07,-96927.17
224,331.67,12414.45,16448.68,-13511.64,3077.37,6395.82,-12672.77,-109784.49,426.27,12483.58,-109358.22,-96874.64
225,315.56,12397.59,16522.83,-13345.24,2575.51,6424.25,-12471.42,-109361.9,424.59,12419.07,-108937.31,-96518.24
226,335.98,12433.32,16439.75,-12774.33,2162.0,6451.01,-12635.57,-108970.45,425.33,12412.16,-108545.12,-96132.96
227,316.32,12372.73,16391.53,-13006.83,2215.81,6441.31,-12568.95,-108999.63,424.07,12161.92,-108575.55,-96413.63
228,321.98,12230.7,16520.94,-13812.54,2444.8,6475.29,-12553.43,-109275.9,426.12,11627.74,-108849.79,-97222.04
229,326.64,12458.95,16536.21,-13885.71,2311.63,6583.3,-12603.61,-109078.01,423.1,11727.42,-108654.91,-96927.49
230,338.27,12309.7,16492.36,-13819.17,2167.86,6425.69,-12402.08,-109128.23,424.19,11512.64,-108704.04,-97191.4
231,332.68,12335.22,16470.45,-12887.35,2379.28,6440.08,-12448.34,-109295.05,424.27,12622.03,-108870.78,-96248.74
232,330.86,12275.59,16531.46,-13792.17,2730.27,6435.82,-12421.81,-109614.88,424.48,12090.02,-109190.41,-97100.39
233,362.22,12468.99,16423.56,-13891.99,2842.52,6444.15,-12487.81,-109681.01,425.58,12161.64,-109255.43,-97093.78
234,346.58,12388.19,16508.0,-13673.27,2244.86,6462.63,-12466.41,-109135.55,425.93,11810.58,-108709.62,-96899.04
235,331.99,12325.59,16577.35,-13797.64,2430.72,6431.25,-12438.99,-109364.9,425.08,11860.28,-108939.82,-97079.54
236,372.6,12303.68,16534.24,-13930.41,2752.4,6452.39,-12641.78,-109570.03,423.52,11843.11,-109146.51,-97303.4
237,336.46,12411.2,16540.92,-13818.69,2328.74,6470.66,-12564.34,-109206.52,421.74,11704.95,-108784.78,-97079.83
238,352.78,12341.28,16511.89,-13921.27,2757.46,6456.51,-12435.43,-109702.65,426.1,12063.22,-109276.54,-97213.32
239,367.56,12463.31,16438.1,-11036.39,2828.03,6416.0,-12475.73,-109800.19,426.84,15000.88,-109373.34,-94372.46
240,349.5,12495.5,16440.66,-13741.21,3258.69,6427.13,-12643.56,-110038.81,427.93,12586.7,-109610.88,-97024.17
241,330.69,12446.16,16481.31,-13358.28,3244.62,6429.57,-12543.99,-110067.8,425.87,13030.09,-109641.92,-96611.84
242,361.6,12438.27,16511.3,-13967.98,3092.88,6430.27,-12607.49,-109790.27,426.49,12258.85,-109363.78,-97104.93
243,349.47,12406.59,16587.85,-13784.72,3274.74,6463.12,-12481.82,-110104.51,426.96,12815.24,-109677.55,-96862.31
244,322.24,12381.48,16491.73,-13685.27,3350.47,6441.17,-12611.52,-110090.13,425.17,12690.31,-109664.96,-96974.65
245,335.54,12325.98,16581.95,-13862.43,3801.53,6425.12,-12541.31,-110559.76,426.62,13066.37,-110133.14,-97066.77
246,355.61,12339.87,16518.54,-13721.47,3616.29,6409.37,-12583.7,-110393.67,426.58,12934.51,-109967.09,-97032.57
247,324.35,12378.42,16465.61,-13781.98,3189.08,6447.51,-12611.05,-110028.97,425.84,12411.94,-109603.13,-97191.18
248,322.19,12472.14,16554.28,-13627.26,3374.07,6431.07,-12466.54,-110288.76,425.54,13059.95,-109863.21,-96803.26
249,344.31,12463.46,16611.5,-13619.37,2763.96,6431.56,-12506.73,-109723.93,424.13,12488.69,-109299.8,-96811.11
250,357.25,12196.58,16594.56,-13886.36,2800.09,6486.46,-12534.89,-109742.07,425.23,12013.7,-109316.84,-97303.14
251,357.04,12390.56,16515.75,-13668.55,2683.91,6442.87,-12471.54,-109707.94,424.62,12250.03,-109283.31,-97033.28
252,333.0,12211.38,16564.72,-13323.19,3361.39,6431.66,-12512.31,-110199.86,428.81,13066.65,-109771.05,-96704.4
253,361.14,12452.51,16566.74,-13471.17,3474.45,6473.75,-12544.61,-110340.49,424.19,13312.81,-109916.3,-96603.49
254,332.43,12460.54,16506.92,-13040.9,3354.87,6433.17,-12502.05,-110224.03,426.84,13544.98,-109797.19,-96252.21
255,338.7,12361.85,16531.4,-13747.82,4037.51,6433.51,-12450.07,-110967.95,424.87,13505.08,-110543.08,-97038.0
256,399.66,12298.33,16512.86,-12706.2,3801.71,6489.06,-12415.39,-110719.38,424.0,14380.02,-110295.39,-95915.37
