| Run on Tue Apr 21 06:06:43 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                         H2BE2K_run2.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1376 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL TERMS AND
THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE!

Some absolute differences in the internal potential terms are greater than 0.005.
This should not happen when using Single Trajectory Protocol!

You can generate a detailed *.csv file with all the terms and differences as follows:
gmx_MMPBSA --rewrite-output -eo energy_terms_differences.csv

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    347.05         22.73      22.73         0.61       0.61
ANGLE                 12311.56         79.51      79.51         2.14       2.14
DIHED                 16534.86         46.87      46.87         1.26       1.26
VDWAALS              -14045.61        161.90     161.90         4.36       4.36
EEL                   -4274.44        662.37     662.37        17.86      17.86
1-4 VDW                6442.39         25.27      25.27         0.68       0.68
1-4 EEL              -12517.08         99.84      99.84         2.69       2.69
EGB                 -102569.08        609.00     609.00        16.42      16.42
ESURF                   416.50          4.97       4.97         0.13       0.13

GGAS                   4798.72        696.12     681.83        18.77      18.38
GSOLV               -102152.59        609.03     606.07        16.42      16.34

TOTAL                -97353.86        924.93     203.30        24.93       5.48

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    244.24         22.70      22.70         0.61       0.61
ANGLE                  4917.48         51.78      51.78         1.40       1.40
DIHED                  6194.99         30.38      30.38         0.82       0.82
VDWAALS               -5369.22        125.09     125.09         3.37       3.37
EEL                  298605.19        970.61     970.61        26.17      26.17
1-4 VDW                2554.32         15.18      15.18         0.41       0.41
1-4 EEL              -42272.97         42.54      42.54         1.15       1.15
EGB                 -329071.25        962.75     962.75        25.95      25.95
ESURF                   248.58          0.53       0.53         0.01       0.01

GGAS                 264874.03        981.78     976.42        26.47      26.32
GSOLV               -328822.68        962.76     962.77        25.95      25.95

TOTAL                -63948.64       1375.06     141.84        37.07       3.82

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.81          1.08       1.08         0.03       0.03
ANGLE                  7394.08         62.25      62.25         1.68       1.68
DIHED                 10339.86         35.54      35.54         0.96       0.96
VDWAALS               -7466.91         44.23      44.23         1.19       1.19
EEL                   22812.26        585.01     585.01        15.77      15.77
1-4 VDW                3888.07         20.89      20.89         0.56       0.56
1-4 EEL               29755.89         85.46      85.46         2.30       2.30
EGB                  -99312.41        580.61     580.61        15.65      15.65
ESURF                   278.81          2.52       2.52         0.07       0.07

GGAS                  66826.05        597.55     580.81        16.11      15.66
GSOLV                -99033.60        580.61     580.97        15.65      15.66

TOTAL                -32207.55        833.18      89.45        22.46       2.41

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.05       0.00         0.03       0.00
ΔANGLE                   -0.00         34.52       0.00         0.93       0.00
ΔDIHED                   -0.00         19.06       0.00         0.51       0.00
ΔVDWAALS              -1209.47          7.42      73.68         0.20       1.99
ΔEEL                -325691.88        276.77    1794.97         7.46      48.39
Δ1-4 VDW                 -0.00         10.80       0.00         0.29       0.00
Δ1-4 EEL                 -0.00         28.16       0.00         0.76       0.00
ΔEGB                 325814.59        226.86    1790.64         6.12      48.27
ΔESURF                 -110.89          1.91       2.88         0.05       0.08

ΔGGAS               -326901.36        276.87    1816.82         7.46      48.98
ΔGSOLV               325703.69        226.87    1788.80         6.12      48.22

ΔTOTAL                -1197.67        357.95      91.41         9.65       2.46
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
