GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
200,368.62,12203.19,16538.24,-13789.35,9451.93,6443.16,-12637.88,-116388.97,435.17,18577.92,-115953.8,-97375.89
201,323.76,12339.2,16452.6,-13791.17,9660.21,6435.65,-12795.06,-116392.9,434.2,18625.19,-115958.71,-97333.52
202,356.2,12465.77,16533.26,-13869.89,9737.8,6329.83,-12821.95,-116414.2,434.39,18731.02,-115979.8,-97248.78
203,366.98,12520.25,16492.53,-13910.64,9783.2,6396.09,-12853.51,-116361.03,432.45,18794.91,-115928.59,-97133.68
204,347.77,12343.98,16473.29,-13892.96,9694.31,6414.71,-12622.15,-116412.01,434.58,18758.94,-115977.43,-97218.49
205,383.99,12457.28,16476.82,-13806.57,9082.6,6406.65,-12738.35,-115767.22,435.48,18262.43,-115331.74,-97069.31
206,356.94,12421.11,16557.15,-13740.14,9068.41,6417.67,-12603.37,-116047.93,435.44,18477.76,-115612.49,-97134.72
207,366.22,12375.43,16497.95,-13806.98,9712.91,6445.95,-12759.48,-116431.28,435.09,18832.0,-115996.19,-97164.19
208,328.63,12363.57,16468.59,-13783.14,9444.1,6447.83,-12667.17,-116209.94,435.49,18602.41,-115774.45,-97172.04
209,388.99,12218.34,16503.93,-13882.82,9811.28,6445.62,-12621.75,-116653.32,436.09,18863.59,-116217.23,-97353.64
210,330.45,12461.08,16530.61,-13858.07,10784.09,6389.62,-12807.46,-117389.26,438.87,19830.33,-116950.39,-97120.07
211,353.25,12298.28,16417.58,-13909.87,10140.79,6405.89,-12501.85,-116938.13,434.25,19204.08,-116503.88,-97299.81
212,382.53,12273.16,16448.3,-13851.54,10438.08,6442.91,-12674.23,-117066.64,436.53,19459.21,-116630.11,-97170.9
213,383.97,12342.59,16519.35,-13910.99,9918.81,6417.81,-12639.71,-116631.13,433.39,19031.82,-116197.75,-97165.93
214,374.27,12325.88,16531.1,-13847.92,9592.9,6422.89,-12664.42,-116290.7,436.39,18734.7,-115854.31,-97119.61
215,311.82,12445.07,16611.17,-13863.26,9708.77,6413.16,-12619.16,-116530.99,433.2,19007.58,-116097.8,-97090.22
216,358.53,12205.03,16585.62,-13821.95,10043.38,6485.38,-12480.2,-117020.08,436.04,19375.79,-116584.04,-97208.25
217,349.06,12324.84,16451.78,-13792.14,9319.74,6470.27,-12684.27,-116069.42,432.26,18439.29,-115637.16,-97197.88
218,352.99,12171.31,16511.9,-13819.9,10037.47,6503.45,-12607.06,-116766.67,435.03,19150.16,-116331.64,-97181.47
219,381.75,12216.34,16486.18,-13819.98,10679.22,6425.25,-12806.41,-117281.63,435.82,19562.36,-116845.82,-97283.46
220,388.22,12371.6,16467.87,-13897.05,9508.55,6409.8,-12686.15,-116164.85,435.5,18562.83,-115729.35,-97166.52
221,344.43,12468.83,16380.78,-13775.61,9793.94,6417.48,-12766.67,-116516.89,437.62,18863.18,-116079.27,-97216.08
222,341.95,12266.71,16485.72,-13857.37,9500.78,6418.47,-12676.55,-116183.14,435.19,18479.7,-115747.94,-97268.24
223,344.1,12402.45,16526.4,-13841.86,9928.03,6386.81,-12931.19,-116484.38,435.79,18814.74,-116048.59,-97233.85
224,295.13,12219.53,16376.34,-13810.73,9571.2,6435.58,-12651.87,-116260.65,435.85,18435.18,-115824.8,-97389.62
225,331.33,12450.81,16484.78,-13823.99,9670.96,6400.91,-12815.48,-116216.55,435.0,18699.33,-115781.55,-97082.22
226,367.28,12339.31,16489.9,-13842.85,9536.29,6411.12,-12792.15,-116150.8,435.98,18508.9,-115714.82,-97205.92
227,341.89,12275.5,16522.75,-13825.18,9505.98,6462.54,-12614.36,-116190.46,432.95,18669.12,-115757.51,-97088.4
228,335.9,12227.98,16446.49,-13892.84,9486.26,6415.26,-12649.01,-116115.99,433.77,18370.04,-115682.22,-97312.17
229,333.56,12472.65,16457.34,-13906.29,8697.63,6439.94,-12505.19,-115441.46,429.84,17989.64,-115011.62,-97021.98
230,343.92,12351.18,16447.72,-13823.28,9110.46,6456.3,-12709.16,-115827.22,432.26,18177.14,-115394.96,-97217.83
231,389.81,12414.1,16432.56,-13890.22,9682.08,6443.57,-12647.26,-116387.28,431.69,18824.64,-115955.59,-97130.95
232,352.67,12290.0,16492.58,-13792.99,9557.77,6470.83,-12597.44,-116327.24,434.32,18773.43,-115892.92,-97119.49
233,371.04,12362.23,16492.44,-13857.37,9724.05,6437.59,-12653.68,-116400.99,433.29,18876.3,-115967.7,-97091.4
234,322.5,12409.39,16436.89,-13860.65,10180.86,6459.05,-12715.23,-116845.58,433.89,19232.8,-116411.69,-97178.89
235,351.92,12430.07,16515.44,-13764.55,9508.36,6426.48,-12652.22,-116379.96,433.08,18815.5,-115946.88,-97131.38
236,374.38,12389.33,16527.92,-13943.19,9792.76,6439.82,-12603.57,-116585.9,432.73,18977.45,-116153.17,-97175.72
237,348.25,12397.91,16471.33,-13877.86,9560.8,6409.4,-12728.88,-116201.48,433.21,18580.96,-115768.27,-97187.31
238,343.93,12348.8,16463.62,-13839.45,10240.14,6406.84,-12653.13,-117024.16,435.08,19310.74,-116589.08,-97278.34
239,374.33,12291.36,16470.01,-13877.18,10834.23,6446.92,-12769.42,-117297.33,432.92,19770.24,-116864.41,-97094.16
240,336.68,12330.57,16438.6,-13832.74,10227.87,6452.99,-12682.15,-116915.97,433.75,19271.82,-116482.22,-97210.4
241,342.11,12270.33,16406.99,-13751.66,10018.51,6446.52,-12733.19,-116721.18,434.64,18999.6,-116286.54,-97286.94
242,307.71,12242.91,16488.17,-13836.21,9992.64,6453.78,-12654.2,-116752.4,435.84,18994.79,-116316.56,-97321.76
243,311.86,12265.63,16459.21,-13831.05,9515.47,6435.24,-12845.15,-116167.66,437.58,18311.21,-115730.08,-97418.87
244,341.9,12106.42,16585.12,-13905.73,9732.82,6470.18,-12648.99,-116362.23,434.14,18681.73,-115928.08,-97246.35
245,381.16,12303.09,16496.69,-13890.29,9587.3,6457.31,-12747.81,-116247.15,434.33,18587.47,-115812.82,-97225.35
246,377.06,12363.02,16540.06,-13962.44,9492.5,6471.14,-12771.63,-116025.62,429.99,18509.72,-115595.63,-97085.92
247,318.81,12419.48,16509.4,-13943.74,9419.53,6409.12,-12894.02,-115893.5,433.0,18238.58,-115460.49,-97221.92
248,325.61,12328.42,16515.26,-13898.16,9530.58,6459.87,-12670.63,-116261.89,434.33,18590.96,-115827.56,-97236.6
249,344.65,12219.18,16492.68,-13975.42,9592.67,6454.2,-12752.23,-116160.07,433.34,18375.75,-115726.72,-97350.98
250,344.19,12386.92,16451.31,-13886.55,9252.54,6387.99,-12661.91,-115990.45,434.31,18274.5,-115556.13,-97281.63
251,374.6,12146.96,16473.07,-13887.41,9144.77,6418.65,-12549.87,-116039.76,434.16,18120.77,-115605.6,-97484.83
252,344.07,12302.57,16540.7,-13924.29,9005.74,6444.18,-12714.25,-115806.87,431.72,17998.72,-115375.15,-97376.42
253,323.67,12388.03,16495.1,-13830.91,9371.8,6418.0,-12813.81,-116058.36,437.18,18351.87,-115621.18,-97269.31
254,359.38,12429.0,16482.12,-13882.95,9608.49,6418.29,-12775.04,-116294.27,433.32,18639.3,-115860.96,-97221.65
255,333.94,12420.85,16550.53,-13837.9,9561.16,6475.38,-12694.53,-116266.27,434.47,18809.43,-115831.8,-97022.37
256,347.79,12181.21,16526.06,-13815.48,9346.34,6450.73,-12678.18,-116080.9,436.05,18358.47,-115644.85,-97286.38
257,354.8,12221.92,16433.69,-13888.3,9864.35,6462.51,-12620.14,-116524.87,437.75,18828.83,-116087.12,-97258.29
258,329.54,12331.64,16432.07,-13828.19,9744.34,6403.42,-12748.97,-116430.17,436.15,18663.84,-115994.03,-97330.18
259,386.28,12258.79,16461.19,-13867.5,9960.55,6466.38,-12703.79,-116648.79,433.86,18961.9,-116214.93,-97253.04
260,310.65,12335.6,16471.33,-13902.2,9833.91,6463.81,-12783.57,-116405.69,433.63,18729.53,-115972.06,-97242.53
261,265.6,12485.17,16461.36,-13949.26,9016.34,6458.71,-12773.26,-115552.94,434.97,17964.65,-115117.97,-97153.33
262,330.89,12460.66,16515.93,-13801.28,8770.42,6404.91,-12713.25,-115449.93,436.08,17968.29,-115013.85,-97045.57
263,371.2,12471.79,16430.88,-13835.91,9022.25,6369.69,-12885.64,-115547.5,436.27,17944.24,-115111.22,-97166.98
264,347.23,12410.11,16487.96,-13836.96,9509.87,6430.81,-12810.76,-116097.04,434.93,18538.27,-115662.11,-97123.84
265,341.66,12167.18,16464.33,-13838.07,9672.02,6459.75,-12796.56,-116240.1,435.14,18470.31,-115804.96,-97334.65
266,271.95,12220.3,16456.23,-13861.23,9497.52,6493.48,-12702.74,-116221.17,435.63,18375.51,-115785.53,-97410.02
267,334.58,12367.19,16517.76,-13873.37,10013.29,6383.43,-12764.56,-116649.29,435.82,18978.32,-116213.47,-97235.15
268,353.33,12533.59,16505.05,-13417.9,9554.52,6430.9,-12881.81,-116157.47,432.53,19077.7,-115724.94,-96647.24
269,380.65,12242.72,16522.3,-12990.65,9634.82,6422.35,-12629.97,-116274.54,433.98,19582.22,-115840.56,-96258.34
270,373.6,12234.14,16568.89,-13570.13,9318.17,6517.25,-12683.49,-115995.44,433.54,18758.42,-115561.9,-96803.48
271,329.39,12432.4,16527.66,-13731.66,9723.32,6416.13,-12883.05,-116200.12,435.25,18814.18,-115764.87,-96950.69
272,378.3,12524.94,16447.08,-13680.32,9324.87,6438.29,-12748.62,-116076.44,432.19,18684.54,-115644.25,-96959.71
273,320.49,12460.9,16549.15,-13849.91,9284.71,6418.92,-12860.94,-115998.85,434.78,18323.32,-115564.08,-97240.76
274,383.06,12416.12,16487.06,-12418.59,9250.18,6422.85,-12784.87,-115927.16,434.41,19755.8,-115492.75,-95736.94
275,340.67,12321.31,16448.49,-12825.06,9078.09,6525.92,-12773.29,-115749.43,434.48,19116.13,-115314.96,-96198.83
276,354.85,12404.28,16480.28,-13756.44,8588.27,6426.25,-12685.57,-115308.3,430.21,17811.92,-114878.09,-97066.17
277,303.7,12264.38,16533.39,-13824.27,9001.24,6471.61,-12706.31,-115756.23,431.98,18043.74,-115324.26,-97280.52
278,336.84,12370.14,16464.56,-13913.29,9408.38,6410.51,-12728.16,-115986.23,436.37,18348.98,-115549.86,-97200.88
279,355.73,12376.94,16448.58,-13879.37,9534.43,6458.32,-12785.26,-116191.18,433.24,18509.37,-115757.93,-97248.56
280,378.14,12400.47,16508.1,-13921.75,9364.51,6456.57,-12663.67,-116031.79,431.47,18522.37,-115600.32,-97077.95
281,335.06,12356.08,16586.27,-13919.37,8962.27,6462.96,-12639.71,-115785.47,431.03,18143.54,-115354.44,-97210.9
282,349.03,12275.99,16491.42,-13894.72,8739.3,6436.52,-12587.98,-115542.69,433.25,17809.57,-115109.44,-97299.87
283,347.15,12403.81,16449.85,-13870.46,8799.54,6399.1,-12609.68,-115679.84,434.57,17919.3,-115245.27,-97325.97
284,364.06,12421.26,16478.86,-13846.12,9114.35,6448.39,-12729.02,-115863.38,434.72,18251.78,-115428.66,-97176.88
285,358.45,12451.0,16443.13,-13895.69,9391.7,6398.99,-12913.09,-115904.2,433.09,18234.48,-115471.11,-97236.63
286,362.29,12313.25,16468.24,-13843.05,9126.26,6489.95,-12642.66,-115944.98,434.84,18274.27,-115510.14,-97235.86
287,328.3,12441.85,16421.16,-13868.81,9869.82,6437.89,-12841.49,-116527.44,433.54,18788.71,-116093.9,-97305.2
288,351.58,12351.58,16494.99,-13845.42,9890.92,6476.85,-12747.66,-116607.78,430.25,18972.83,-116177.54,-97204.71
289,330.76,12251.68,16466.54,-13350.75,9925.06,6417.87,-12776.38,-116615.11,432.85,19264.78,-116182.26,-96917.48
290,362.24,12365.2,16478.61,-13811.18,9650.51,6500.96,-12755.15,-116420.62,432.03,18791.2,-115988.58,-97197.38
291,338.99,12208.31,16469.83,-13858.58,9808.05,6449.53,-12760.97,-116527.82,430.7,18655.16,-116097.12,-97441.96
292,355.43,12332.59,16549.57,-13869.98,9871.57,6442.71,-12733.74,-116578.3,429.17,18948.14,-116149.12,-97200.98
293,310.78,12323.4,16388.75,-13861.28,9670.46,6398.4,-12717.63,-116341.21,429.65,18512.89,-115911.56,-97398.67
294,352.06,12258.02,16581.82,-13846.43,9946.38,6451.98,-12761.55,-116555.77,432.33,18982.28,-116123.43,-97141.16
295,375.46,12253.03,16529.43,-12758.36,9544.54,6444.28,-12695.62,-116289.84,430.56,19692.75,-115859.29,-96166.53
296,384.4,12326.72,16486.64,-13239.85,9638.89,6435.43,-12770.29,-116270.92,428.64,19261.93,-115842.27,-96580.35
297,346.85,12273.78,16460.74,-13884.53,9851.26,6399.26,-12841.56,-116321.07,431.05,18605.8,-115890.02,-97284.22
298,339.45,12379.53,16455.78,-13820.44,9198.15,6424.64,-12885.1,-115811.57,434.04,18092.02,-115377.53,-97285.51
299,330.03,12279.72,16494.95,-13572.74,9012.43,6465.6,-12748.26,-115686.88,434.23,18261.72,-115252.65,-96990.93
300,334.57,12274.3,16502.95,-13586.12,9065.81,6457.23,-12773.27,-115673.1,431.08,18275.48,-115242.02,-96966.54
301,361.25,12281.58,16362.56,-13019.92,9428.76,6453.21,-12808.77,-116083.13,431.07,19058.67,-115652.06,-96593.39
302,335.15,12249.71,16384.79,-12122.55,9325.37,6452.72,-12722.4,-115871.34,429.02,19902.78,-115442.33,-95539.54
303,343.73,12292.68,16518.22,-13633.79,8892.84,6484.14,-12768.58,-115483.25,430.14,18129.22,-115053.11,-96923.89
304,355.22,12301.97,16464.52,-13259.19,9148.16,6439.76,-12692.05,-115746.98,430.12,18758.39,-115316.86,-96558.47
305,329.09,12266.3,16514.18,-13802.39,9436.06,6440.36,-12695.96,-116162.59,432.09,18487.64,-115730.5,-97242.87
306,340.81,12287.81,16619.18,-13385.93,9335.65,6414.76,-12733.94,-115977.68,432.42,18878.34,-115545.25,-96666.91
307,396.11,12552.76,16505.75,-13879.88,8811.25,6407.17,-12791.56,-115425.87,433.91,18001.6,-114991.96,-96990.36
308,325.33,12390.77,16516.03,-13911.32,9027.09,6439.01,-12722.62,-115663.71,432.62,18064.27,-115231.09,-97166.82
309,392.04,12349.54,16479.56,-13926.8,9562.02,6449.89,-12749.77,-116160.47,435.33,18556.48,-115725.14,-97168.66
310,347.78,12370.09,16482.06,-13867.89,9357.61,6466.37,-12839.78,-115901.63,433.54,18316.24,-115468.09,-97151.84
311,280.24,12484.16,16446.49,-13920.67,9265.64,6466.95,-12825.58,-115762.59,431.13,18197.23,-115331.46,-97134.22
312,318.77,12308.22,16445.38,-13898.31,8968.81,6471.22,-12914.24,-115501.89,433.54,17699.83,-115068.36,-97368.52
313,344.98,12443.43,16465.93,-13941.4,8790.74,6423.36,-12846.02,-115395.46,430.94,17681.01,-114964.51,-97283.5
314,392.21,12311.13,16478.81,-13974.77,8836.74,6440.95,-12828.39,-115356.06,430.48,17656.69,-114925.58,-97268.89
315,372.15,12341.23,16488.94,-13946.84,9066.5,6443.94,-12783.64,-115648.54,430.86,17982.28,-115217.68,-97235.4
316,353.52,12313.62,16536.41,-13933.41,8978.64,6507.89,-12682.17,-115739.26,432.97,18074.49,-115306.29,-97231.8
317,364.01,12232.3,16503.05,-13939.64,8882.8,6463.18,-12704.55,-115678.26,429.92,17801.15,-115248.34,-97447.19
318,342.74,12514.21,16500.06,-13873.86,8617.26,6364.69,-12807.32,-115313.41,431.67,17657.76,-114881.73,-97223.97
319,350.03,12412.37,16391.01,-13908.18,9217.96,6426.88,-12807.34,-115800.12,434.92,18082.72,-115365.2,-97282.48
320,362.21,12272.58,16390.92,-13824.96,9515.41,6445.4,-12800.6,-116143.85,434.24,18360.96,-115709.61,-97348.64
321,333.72,12384.19,16598.93,-13861.57,8878.84,6464.71,-12758.17,-115606.06,433.12,18040.65,-115172.93,-97132.28
322,332.09,12344.84,16438.32,-13870.23,8616.2,6454.31,-12771.56,-115256.44,431.18,17543.97,-114825.27,-97281.3
323,360.07,12328.74,16499.84,-13860.43,9059.79,6387.47,-12881.93,-115597.5,434.74,17893.55,-115162.76,-97269.21
324,324.43,12407.12,16417.65,-13945.19,8769.25,6419.8,-12862.48,-115277.48,430.29,17530.59,-114847.2,-97316.61
325,372.62,12380.63,16436.3,-13917.96,8847.12,6430.24,-12818.21,-115389.44,428.23,17730.74,-114961.21,-97230.47
326,336.49,12405.27,16506.24,-13972.12,9176.83,6396.66,-12774.3,-115702.43,430.15,18075.09,-115272.28,-97197.2
327,331.7,12425.54,16459.2,-13875.7,8905.12,6417.02,-12792.82,-115508.78,432.44,17870.06,-115076.34,-97206.27
328,368.34,12180.49,16412.63,-13917.54,8406.88,6481.23,-12568.9,-115280.49,432.68,17363.14,-114847.81,-97484.66
329,335.22,12261.72,16477.93,-13887.96,8532.15,6467.88,-12714.33,-115166.44,429.63,17472.61,-114736.81,-97264.2
330,310.6,12330.52,16511.3,-13964.89,8044.1,6488.26,-12602.04,-114711.43,428.78,17117.84,-114282.65,-97164.81
331,364.34,12286.34,16483.26,-13897.09,7960.79,6432.48,-12748.92,-114606.95,430.13,16881.19,-114176.83,-97295.64
332,324.14,12313.0,16465.47,-13897.74,7464.57,6451.44,-12820.9,-114033.02,429.74,16299.98,-113603.28,-97303.3
333,338.69,12288.11,16520.92,-13966.74,8298.08,6429.53,-12683.11,-114905.8,428.19,17225.49,-114477.62,-97252.13
334,364.8,12403.57,16459.27,-13787.84,7444.85,6437.17,-12662.78,-114102.88,430.72,16659.03,-113672.16,-97013.13
335,336.68,12172.57,16495.74,-13911.95,7113.98,6491.61,-12575.28,-113917.21,430.77,16123.36,-113486.44,-97363.08
336,369.67,12348.44,16522.24,-13505.51,6931.98,6466.87,-12637.47,-113658.89,428.45,16496.21,-113230.44,-96734.23
337,323.62,12492.73,16548.68,-14006.81,7588.26,6439.85,-12708.02,-114222.27,431.78,16678.3,-113790.49,-97112.2
338,353.18,12344.72,16551.34,-13952.74,7705.21,6468.01,-12758.8,-114321.32,428.38,16710.92,-113892.94,-97182.02
339,366.48,12315.87,16569.39,-13927.49,7431.1,6415.33,-12868.75,-113962.22,429.67,16301.93,-113532.54,-97230.61
340,306.13,12339.0,16461.27,-13913.56,7493.91,6446.79,-12732.4,-114222.17,426.11,16401.13,-113796.06,-97394.93
341,339.8,12214.63,16503.44,-13946.33,7292.82,6412.46,-12619.4,-114087.54,427.64,16197.42,-113659.9,-97462.47
342,372.57,12422.35,16507.7,-13957.23,7550.51,6434.5,-12737.95,-114237.49,427.63,16592.45,-113809.86,-97217.41
343,309.21,12249.83,16471.25,-13964.94,7286.1,6444.3,-12693.71,-113968.0,426.08,16102.04,-113541.92,-97439.88
344,375.15,12426.27,16513.01,-13992.42,7313.63,6442.1,-12800.08,-113872.67,427.47,16277.66,-113445.2,-97167.54
345,367.58,12362.69,16458.59,-13912.6,7246.02,6400.39,-12723.34,-113935.09,426.63,16199.32,-113508.46,-97309.14
346,347.37,12465.83,16535.02,-14042.87,7784.86,6422.76,-12848.53,-114307.15,429.16,16664.44,-113877.99,-97213.55
347,345.08,12304.96,16513.03,-13919.15,7155.8,6435.07,-12728.65,-113793.79,429.76,16106.15,-113364.03,-97257.88
348,345.14,12405.15,16474.85,-13982.78,7508.25,6384.95,-12866.25,-113979.09,427.85,16269.32,-113551.24,-97281.93
349,316.97,12393.31,16452.11,-13879.45,7467.01,6427.16,-12842.11,-114025.62,429.99,16335.01,-113595.63,-97260.62
350,317.71,12358.53,16483.11,-13939.26,6887.14,6434.19,-12893.23,-113416.86,426.78,15648.19,-112990.08,-97341.89
351,359.57,12192.38,16391.18,-13850.98,7051.36,6393.03,-12704.04,-113750.05,427.77,15832.5,-113322.29,-97489.79
352,322.2,12339.64,16420.39,-13999.32,6795.66,6420.94,-12775.93,-113392.98,430.25,15523.58,-112962.73,-97439.14
353,351.33,12354.94,16448.86,-13944.74,7142.69,6416.26,-12903.44,-113524.07,428.39,15865.9,-113095.67,-97229.77
354,358.78,12339.75,16451.98,-13930.01,6219.56,6398.71,-12637.9,-112977.74,431.54,15200.87,-112546.2,-97345.33
355,335.88,12435.29,16413.7,-13952.4,6898.58,6438.99,-12746.58,-113391.45,426.88,15823.47,-112964.57,-97141.1
356,373.92,12415.24,16479.03,-13975.39,6950.79,6416.83,-12917.81,-113405.55,426.49,15742.61,-112979.06,-97236.45
357,348.42,12337.7,16505.94,-13896.99,6746.43,6416.99,-12854.97,-113342.9,426.67,15603.54,-112916.23,-97312.69
358,373.51,12268.51,16497.21,-13864.9,6385.07,6452.43,-12850.2,-112990.72,426.26,15261.63,-112564.46,-97302.84
359,322.42,12208.24,16503.23,-12179.15,6460.69,6454.96,-12820.57,-113027.79,426.56,16949.82,-112601.23,-95651.41
360,382.56,12314.73,16442.95,-13011.32,6565.53,6485.62,-12705.35,-113219.81,426.79,16474.73,-112793.02,-96318.29
361,335.45,12327.48,16366.16,-13918.85,6552.75,6407.7,-12921.18,-113051.57,426.82,15149.5,-112624.75,-97475.25
362,333.65,12416.21,16427.22,-13927.71,7003.57,6437.24,-12761.76,-113676.67,429.41,15928.42,-113247.26,-97318.84
363,408.08,12460.52,16458.75,-13903.84,6201.47,6446.08,-12728.75,-112895.09,424.26,15342.3,-112470.83,-97128.52
364,334.52,12531.65,16458.6,-13969.83,6783.81,6375.71,-12798.74,-113371.16,425.83,15715.72,-112945.32,-97229.6
365,356.33,12298.42,16469.38,-13956.34,6880.57,6422.09,-12701.62,-113605.92,425.58,15768.84,-113180.34,-97411.5
366,321.16,12186.51,16494.55,-13904.51,6095.17,6426.71,-12710.83,-112759.13,426.36,14908.77,-112332.77,-97424.0
