GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
200,320.53,12350.12,16524.83,-13963.62,1949.93,6433.41,-12583.09,-108769.2,423.75,11032.11,-108345.45,-97313.34
201,342.18,12454.29,16495.03,-13918.48,2507.4,6374.37,-12695.02,-109129.31,423.85,11559.78,-108705.46,-97145.68
202,330.04,12453.85,16498.6,-13987.7,2638.49,6413.26,-12665.39,-109326.01,422.09,11681.16,-108903.93,-97222.77
203,381.98,12263.14,16565.27,-13957.25,2890.05,6474.13,-12575.99,-109633.34,424.42,12041.33,-109208.92,-97167.59
204,331.51,12474.1,16583.41,-13983.69,2755.3,6438.28,-12796.34,-109454.3,423.85,11802.57,-109030.46,-97227.89
205,336.44,12321.81,16557.43,-13929.67,2894.19,6472.0,-12651.94,-109625.52,421.49,12000.25,-109204.03,-97203.78
206,345.52,12348.29,16579.31,-13933.5,2554.18,6425.15,-12660.85,-109284.5,420.19,11658.11,-108864.31,-97206.2
207,339.17,12380.85,16481.17,-13939.44,3186.07,6447.19,-12725.21,-109908.13,423.51,12169.8,-109484.62,-97314.82
208,397.34,12422.36,16508.54,-13954.01,2976.28,6424.33,-12831.73,-109637.69,427.9,11943.1,-109209.79,-97266.69
209,327.01,12249.23,16516.36,-14004.9,3220.53,6449.28,-12685.51,-109821.37,422.4,12071.99,-109398.97,-97326.98
210,366.19,12445.1,16475.87,-13903.84,3045.81,6448.02,-12738.38,-109812.78,427.26,12138.76,-109385.52,-97246.75
211,349.84,12312.28,16533.64,-13834.41,2731.28,6437.34,-12617.92,-109612.43,425.04,11912.05,-109187.4,-97275.35
212,329.65,12279.8,16479.22,-13956.48,3535.8,6415.71,-12708.64,-110176.54,425.14,12375.07,-109751.41,-97376.34
213,342.78,12275.41,16528.83,-13923.93,3193.4,6406.44,-12795.41,-109772.41,425.8,12027.51,-109346.61,-97319.09
